Acres,Urban or Rural,Distance to GTET 100,Distance to GTET 200,Distance to CAISO substation,Population Density,percentile_GTET100,percentile_GTET200,percentile_CAISO,Parking,Rooftop
0.00014764852794162654,1,0.006553159134055826,0.003573644792248675,0.006050393071034313,0.008988554728887956,0.0,0.0,0.0,0,0
0.0004912633213898732,0,0.2247915820685441,0.12258595437211763,0.04611174858964682,0.2215643811054059,3.0,3.0,1.0,0,1
5.598317350103064e-05,1,0.03680603301013746,0.035684417194384206,0.08295074357811955,0.009052592359728481,1.0,1.0,1.0,0,0
0.001979753186303699,0,0.04069398536476743,0.022191716376745333,0.12206406599143219,0.005804137995272859,1.0,0.0,2.0,0,1
5.8169977570242744e-05,0,0.02190322863544109,0.03067918576836472,0.05194168525100908,0.0931689312701573,0.0,1.0,1.0,0,1
0.0005360408441283414,0,0.017676804374558024,0.09033497137504708,0.17946114271384755,0.007259538696193836,0.0,2.0,3.0,0,1
0.0006125147269891935,1,0.11939615464098634,0.19222203008820005,0.11023594147039542,0.005233620920511836,3.0,3.0,2.0,0,0
0.0020821708743270725,1,0.2852885004651724,0.15557683601448033,0.0027414690061588545,0.004651460640143445,3.0,3.0,0.0,0,0
0.00025623971049925525,0,0.020543371038018392,0.03167214150674243,0.053622818343015105,0.11886548604561806,0.0,1.0,1.0,0,1
0.00016268919647119385,1,0.10302318490783623,0.05618179883858515,0.16293845151914052,0.028135806350204337,2.0,1.0,3.0,0,0
0.0004262076798408178,0,0.0712011479635373,0.03895528087280407,0.14949374074411526,0.08551934518611663,2.0,1.0,3.0,0,1
0.0008813411924125551,1,0.04745674338325728,0.02587966206517188,0.051728963896221,0.008988554728887956,1.0,0.0,1.0,0,0
6.468811724877223e-05,0,0.30306981080696416,0.2455530476470747,0.10056921901546903,0.005233620920511836,3.0,3.0,2.0,1,0
0.00010451945262310559,1,0.05980468261325894,0.21578765150064663,0.055216397144734086,0.005908926845739169,2.0,3.0,1.0,0,0
0.047546771023996445,1,0.0027236422171227907,0.09892900588039026,0.00251468118831675,0.005908926845739169,0.0,2.0,0.0,0,0
0.00023127247206035514,0,0.11369762130000438,0.062002906375073746,0.08231580409762228,0.2215643811054059,3.0,2.0,1.0,1,0
0.0010520489400769818,1,0.0944550022963497,0.3265766758010588,0.08780774598489112,0.005233620920511836,2.0,3.0,2.0,0,0
0.00011302603387724983,0,0.041452491959315045,0.02260535399579911,0.03827220810560722,0.14075471258746958,1.0,0.0,0.0,1,0
0.00010353696884575684,1,0.2241251641078325,0.1500987326659429,0.30627539698072553,0.0009780292710188968,3.0,3.0,3.0,0,0
0.0001582134737864219,0,0.011334477306039387,0.10410562914127515,0.17625701876646063,0.01758124046712541,0.0,2.0,3.0,0,0
0.00012149971697024309,0,0.007871219793504379,0.01602119631306023,0.027124837748976484,0.08519333542911034,0.0,0.0,0.0,1,0
