Acres,Distance to GTET 100,Distance to GTET 200,Distance to CAISO substation,Population Density,Urban or Rural,percentile_GTET100,percentile_GTET200,percentile_CAISO,Parking,Rooftop
3.02668783364906,3.170259057546437,1.3453016035500451,0.26155398756966675,-0.1177865612648221,1.0,3.0,3.0,2.0,0.0,0.0
-0.2866339663976137,0.836342889138652,0.06887386615112194,-0.481073205618572,5.773122529644269,0.0,3.0,2.0,0.0,1.0,0.0
0.2313940552788966,1.0572450598048737,1.273905558780693,0.2570647445231762,0.0,0.0,3.0,3.0,2.0,0.0,0.0
-0.16013958002797482,-0.2970788234014719,-0.5509988317801724,-0.5573659170188403,-0.08363636363636362,0.0,1.0,0.0,0.0,1.0,0.0
0.89399571201026,-0.5745661619777928,-0.3138454890008627,0.33388651073820164,0.548300395256917,0.0,0.0,1.0,2.0,0.0,0.0
-0.008285964880583457,0.33207042767064715,0.8871177175654655,0.9708896946076587,-0.037944664031620556,1.0,2.0,3.0,3.0,0.0,0.0
-0.23381247058359775,5.427418865384343,2.5797509918636945,-0.061739504558858675,0.4592885375494071,0.0,3.0,3.0,1.0,0.0,1.0
2.0926660418168144,1.096821681862559,0.2113307206592261,0.6205444926998945,-0.08363636363636362,1.0,3.0,2.0,3.0,0.0,0.0
0.1855285986591375,0.13458587035831604,-0.31491974897974184,0.5789058665925932,-0.18086956521739128,1.0,2.0,1.0,3.0,0.0,0.0
0.19054183233998115,-0.29706722326417645,-0.5509924876204283,-0.5573561049912813,0.9163636363636363,0.0,1.0,0.0,0.0,0.0,1.0
0.8128322123367905,-0.08648137899334608,-0.43582227869461515,-0.2763775366838313,-0.13533596837944664,0.0,2.0,0.0,1.0,0.0,0.0
-0.25207609012736365,-0.3810454108921615,-0.5969204817257087,0.6995412779252219,3.578498023715415,0.0,0.0,0.0,3.0,0.0,1.0
-0.3639291332430906,-0.5158858786964634,-0.523514276798089,-0.1719766486005909,2.9840316205533597,0.0,0.0,0.0,1.0,1.0,0.0
-0.2749375520912435,-0.3212559056263845,-0.029605126489967337,-0.3368424232977986,0.0,0.0,1.0,2.0,1.0,1.0,0.0
-0.2421790881619025,-0.5609419070907056,-0.6953065680457471,-0.7805556761596757,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.17204058897856594,1.687440366470476,0.5343423529810141,-0.4024376934777135,5.773122529644269,0.0,3.0,3.0,1.0,0.0,1.0
-0.3526795504392026,-0.24926431873275334,-0.3635343608092884,-0.054733870460527204,0.0017391304347826445,1.0,1.0,1.0,1.0,0.0,0.0
1.9663806553189507,-0.20920902948964623,-0.5029425032167102,0.31443612829400247,-0.08648221343873516,0.0,1.0,0.0,2.0,0.0,1.0
-0.35004340876896645,-0.4027991579781583,-0.4152489896928134,-0.34741199948855866,2.2861660079051385,0.0,0.0,1.0,1.0,0.0,1.0
0.22601885582135223,-0.44634152444573005,0.2011214736921686,0.8561768303039071,-0.04695652173913042,0.0,0.0,2.0,3.0,0.0,1.0
0.31820635086606475,0.6016131892201196,1.2538303258730437,0.2027967060900388,-0.10197628458498022,1.0,3.0,3.0,2.0,0.0,0.0
2.0898428067612302,2.3107045795228567,0.8752079504848448,-0.8117868633240046,-0.1177865612648221,1.0,3.0,3.0,0.0,0.0,0.0
-0.11127493200514096,-0.4168089719948702,-0.4049896563798666,-0.33154467185722386,2.9840316205533597,0.0,0.0,1.0,1.0,0.0,1.0
-0.22404791051447528,0.43293209989324605,-0.15175304750109922,0.7002278719588247,0.52,1.0,2.0,1.0,3.0,0.0,0.0
0.09361751944714776,0.10508834620351024,-0.32973941970451603,0.5733303456473868,2.0784189723320154,0.0,2.0,1.0,3.0,0.0,1.0
0.6422704302877487,-0.13953630621432866,-0.4648382226377702,-0.3494197640413201,0.0,1.0,1.0,0.0,1.0,0.0,0.0
-0.3421859423132808,2.4938949748510697,1.8048525556745745,0.11155761678600852,-0.10197628458498022,0.0,3.0,3.0,2.0,1.0,0.0
-0.2941701898095544,-0.01232274177210199,1.4973130466557487,-0.31650372294398077,-0.08363636363636362,1.0,2.0,3.0,1.0,0.0,0.0
56.89636555955116,-0.6003951703454513,0.28991603027263785,-0.8139273937945589,-0.08363636363636362,1.0,0.0,2.0,0.0,0.0,0.0
-0.14137235982967364,0.542904547648753,-0.09160869246175529,-0.06072672897424428,5.773122529644269,0.0,3.0,2.0,1.0,1.0,0.0
0.8480546673787671,0.34465914758143257,2.641998034902151,-0.00889118919936382,-0.10197628458498022,1.0,2.0,3.0,2.0,0.0,0.0
-0.28391570307660324,-0.2013945816090727,-0.49866875158747875,-0.47643097689523106,3.578498023715415,0.0,1.0,0.0,0.0,1.0,0.0
-0.29535455125384835,1.6805746536894755,0.8186075543108543,2.0531096194710488,-0.2175494071146245,1.0,3.0,3.0,3.0,0.0,0.0
-0.22944329057611904,-0.5116827946136564,0.3434014993789853,0.8259347961149736,0.23335968379446645,0.0,0.0,2.0,3.0,0.0,0.0
-0.2737008743151665,-0.5473627023735229,-0.5666970288222516,-0.5816451199738301,2.0695652173913044,0.0,0.0,0.0,0.0,1.0,0.0
-0.2469790342390825,-0.05458449529793189,-0.41837775020789175,-0.5883093287572452,0.14450592885375496,0.0,2.0,0.0,0.0,0.0,1.0
-0.17250757754675058,-0.5213694543318765,-0.6736642412895393,0.28787081709982437,3.578498023715415,0.0,0.0,0.0,2.0,1.0,0.0
-0.09153233945174787,-0.11577852350190006,-0.10981301835961522,0.17105485627391928,-0.037944664031620556,0.0,2.0,2.0,2.0,1.0,0.0
-0.2693136697668449,-0.23251777776859262,0.11239124802184128,0.46864887580520775,0.0,0.0,1.0,2.0,2.0,1.0,0.0
-0.27005217155272804,-0.5340006814383633,-0.10947769464627864,1.2074909557077171,2.9840316205533597,0.0,0.0,2.0,3.0,1.0,0.0
-0.2395727843718181,0.42342188244738116,-0.15695422203380682,0.052072799268582444,0.0,1.0,2.0,1.0,2.0,0.0,0.0
-0.3176044157675237,-0.3279529782506403,0.06942331331898993,0.40219365139880653,0.0,0.0,1.0,2.0,2.0,1.0,0.0
-0.22481079807021134,0.5141189486226034,0.6501830213237808,-0.2273736132786836,-0.08363636363636362,1.0,2.0,3.0,1.0,0.0,0.0
-0.3207302457399937,0.0008712645130562354,1.0601639828922431,1.934496611277156,0.684901185770751,0.0,2.0,3.0,3.0,0.0,1.0
